age,gender,country,primary_platform,purpose,addiction_level,num_platforms_used,night_usage,sample_count,avg_daily_usage_hours,avg_session_minutes,avg_mental_health_score,avg_screen_time_before_sleep
24,Male,India,TikTok,Entertainment,Medium,1,1,95,3.7444081,26.515858,6.845169,39.78916
25,Male,India,TikTok,Entertainment,Medium,2,1,95,3.6780639,25.386318,7.155658,41.295555
21,Male,India,YouTube,Entertainment,Medium,1,1,95,3.6446457,24.953484,7.130295,39.880745
23,Male,India,YouTube,Entertainment,Medium,4,1,95,3.8019104,26.723444,7.102712,38.631912
27,Male,India,YouTube,Entertainment,Medium,3,1,95,3.7095447,25.144995,7.044465,43.6771
15,Female,India,Instagram,Entertainment,Medium,5,1,94,3.693428,26.142303,7.058628,36.32128
16,Female,India,Instagram,Entertainment,Medium,3,1,94,3.7254367,24.326807,7.0373993,40.69055
20,Male,India,Instagram,Entertainment,Medium,2,1,94,3.656855,24.613098,6.909438,40.311478
23,Female,India,Instagram,Entertainment,Medium,4,1,94,3.777544,24.963223,6.9926934,39.10019
25,Female,India,Instagram,Entertainment,Medium,1,1,94,3.6110523,25.41809,6.981435,39.47384
25,Female,India,Instagram,Entertainment,Medium,3,1,94,3.745174,23.989016,6.848142,41.17859
25,Male,India,Instagram,Entertainment,Medium,2,1,94,3.801677,25.89249,6.9286714,40.20288
27,Female,India,Instagram,Entertainment,Medium,5,1,94,3.6073978,24.508366,7.1734047,37.37426
25,Female,India,TikTok,Entertainment,Medium,2,1,94,3.64953,25.497799,6.9675117,42.99634
13,Female,India,Instagram,Entertainment,Medium,2,1,93,3.5722973,24.883167,7.2225776,37.499855
13,Male,India,Instagram,Entertainment,Medium,5,1,93,3.6741517,25.406166,7.1651926,41.366066
26,Female,India,Instagram,Entertainment,Medium,4,1,93,3.7144592,26.286108,6.991324,39.321465
19,Female,India,TikTok,Entertainment,Medium,4,1,93,3.6372705,23.859005,7.224823,39.348404
21,Female,India,TikTok,Entertainment,Medium,2,1,93,3.7003155,24.355986,7.0258813,42.881905
13,Female,India,YouTube,Entertainment,Medium,3,1,93,3.6896274,24.206604,7.2432227,41.271397
15,Male,India,YouTube,Entertainment,Medium,2,1,93,3.8754573,26.034296,6.8776383,38.662636
17,Male,India,YouTube,Entertainment,Medium,5,1,93,3.7321029,24.359972,6.820163,41.004196
21,Male,India,YouTube,Entertainment,Medium,4,1,93,3.5964992,24.757431,7.104258,40.379158
25,Male,India,YouTube,Entertainment,Medium,4,1,93,3.776303,24.149557,6.9581385,41.11003
16,Female,India,Instagram,Entertainment,Medium,5,1,92,3.6667187,26.130451,7.0487237,36.841927
18,Male,India,Instagram,Entertainment,Medium,2,1,92,3.6616864,23.673779,6.8982325,40.276978
22,Female,India,Instagram,Entertainment,Medium,5,1,92,3.6899986,23.998957,7.0856466,41.62298
23,Male,India,Instagram,Entertainment,Medium,2,1,92,3.6827302,27.402618,7.022448,41.18833
14,Female,India,TikTok,Entertainment,Medium,5,1,92,3.667333,23.328228,7.075389,40.44851
14,Male,India,TikTok,Entertainment,Medium,2,1,92,3.7285988,27.248459,6.9605727,38.24555
18,Male,India,TikTok,Entertainment,Medium,4,1,92,3.785614,24.464687,6.942504,35.78884
23,Female,India,TikTok,Entertainment,Medium,3,1,92,3.622163,25.46468,7.1393814,43.840813
15,Female,India,Instagram,Entertainment,Medium,3,1,91,3.6136642,25.307583,7.112117,41.70002
15,Male,India,Instagram,Entertainment,Medium,2,1,91,3.8579903,23.5621,6.966384,40.90094
20,Female,India,Instagram,Entertainment,Medium,1,1,91,3.5545585,25.415224,6.90191,36.472313
24,Male,India,Instagram,Entertainment,Medium,5,1,91,3.6049309,24.4457,7.0497236,39.04445
19,Female,India,TikTok,Entertainment,Medium,1,1,91,3.8713489,26.42208,7.0762033,42.184765
24,Male,India,TikTok,Entertainment,Medium,3,1,91,3.796126,25.565403,6.8454046,38.739902
14,Male,India,YouTube,Entertainment,Medium,2,1,91,3.6750684,23.579126,6.8552084,42.849083
25,Female,India,YouTube,Entertainment,Medium,4,1,91,3.6355157,25.338358,6.943015,39.881298
13,Male,India,Instagram,Entertainment,Medium,4,1,90,3.84156,24.114893,6.798612,42.33898
16,Female,India,Instagram,Entertainment,Medium,4,1,90,3.7450504,26.526957,7.1301165,37.896763
16,Male,India,Instagram,Entertainment,Medium,1,1,90,3.6047978,23.914108,7.112868,37.88372
20,Female,India,Instagram,Entertainment,Medium,5,1,90,3.658821,23.739435,7.330493,41.78087
26,Female,India,Instagram,Entertainment,Medium,3,1,90,3.652507,23.389717,7.0335875,37.73077
27,Female,India,Instagram,Entertainment,Medium,2,1,90,3.683258,25.21036,7.096658,37.438683
14,Female,India,TikTok,Entertainment,Medium,4,1,90,3.62262,22.792997,7.1422997,40.622803
15,Male,India,TikTok,Entertainment,Medium,5,1,90,3.629139,25.058039,6.9161453,42.209534
19,Female,India,TikTok,Entertainment,Medium,5,1,90,3.584922,26.655157,7.355015,35.995613
21,Male,India,TikTok,Entertainment,Medium,2,1,90,3.7481792,24.875937,7.08895,39.66475
22,Male,India,TikTok,Entertainment,Medium,2,1,90,3.773311,27.810053,7.189101,35.28678
16,Male,India,YouTube,Entertainment,Medium,3,1,90,3.8336518,25.931072,6.9443946,41.31408
19,Female,India,YouTube,Entertainment,Medium,4,1,90,3.6293483,24.846165,7.192121,39.403328
21,Male,India,YouTube,Entertainment,Medium,5,1,90,3.7190228,23.929504,7.1539955,40.859863
25,Female,India,YouTube,Entertainment,Medium,5,1,90,3.6643817,25.35442,7.076888,44.14127
17,Female,India,Instagram,Entertainment,Medium,1,1,89,3.6594296,24.019032,6.963014,39.22787
17,Male,India,Instagram,Entertainment,Medium,1,1,89,3.8063922,25.22749,6.934934,38.374485
18,Female,India,Instagram,Entertainment,Medium,4,1,89,3.6950755,25.935383,6.92518,41.277454
18,Female,India,Instagram,Entertainment,Medium,5,1,89,3.8980305,24.13139,6.800677,40.30321
22,Female,India,Instagram,Entertainment,Medium,3,1,89,3.5990963,24.197433,6.9674225,43.109932
19,Male,India,TikTok,Entertainment,Medium,3,1,89,3.7253613,24.713093,7.0463495,38.782013
22,Female,India,TikTok,Entertainment,Medium,3,1,89,3.6454136,26.190296,7.029277,38.5719
15,Female,India,YouTube,Entertainment,Medium,5,1,89,3.6812954,23.199657,7.08999,36.86084
17,Female,India,YouTube,Entertainment,Medium,5,1,89,3.7517211,24.53648,6.8707876,38.213703
17,Male,India,YouTube,Entertainment,Medium,1,1,89,3.6512406,25.026052,7.043948,37.19809
20,Female,India,YouTube,Entertainment,Medium,4,1,89,3.8915534,24.345182,6.7254763,37.704655
27,Female,India,YouTube,Entertainment,Medium,1,1,89,3.7027783,26.919912,7.0668364,42.446575
27,Female,India,YouTube,Entertainment,Medium,2,1,89,3.7806365,24.43672,7.023464,39.374107
13,Female,India,Instagram,Entertainment,Medium,4,1,88,3.8493462,23.183228,6.767553,37.774445
13,Male,India,Instagram,Entertainment,Medium,2,1,88,3.7975132,24.132008,6.8367524,42.480457
14,Female,India,Instagram,Entertainment,Medium,1,1,88,3.6179256,23.528963,7.2326636,41.382355
21,Female,India,Instagram,Entertainment,Medium,1,1,88,3.7542775,26.552698,6.7482653,41.898994
25,Male,India,Instagram,Entertainment,Medium,1,1,88,3.5626483,23.731583,7.1232543,40.81842
27,Female,India,Instagram,Entertainment,Medium,1,1,88,3.6578877,24.19856,6.925354,37.20069
18,Female,India,TikTok,Entertainment,Medium,3,1,88,3.6644719,26.428427,7.1766534,35.21528
19,Male,India,TikTok,Entertainment,Medium,1,1,88,3.7345173,25.696905,7.0852065,41.551537
23,Female,India,TikTok,Entertainment,Medium,4,1,88,3.692007,24.660944,6.8545713,39.166912
18,Male,India,YouTube,Entertainment,Medium,2,1,88,3.6176407,25.089909,7.0877914,41.629223
20,Male,India,YouTube,Entertainment,Medium,3,1,88,3.6297793,23.890333,7.2692885,41.595005
14,Female,India,Instagram,Entertainment,Medium,3,1,87,3.7411625,25.365168,7.0846047,42.37319
16,Male,India,Instagram,Entertainment,Medium,4,1,87,3.7633128,25.687815,7.0029235,36.059517
17,Female,India,Instagram,Entertainment,Medium,4,1,87,3.780444,25.97617,7.1059313,41.432995
18,Male,India,Instagram,Entertainment,Medium,3,1,87,3.6186702,25.301815,7.236918,37.851784
19,Female,India,Instagram,Entertainment,Medium,1,1,87,3.7298934,25.154385,6.9110007,39.647694
20,Male,India,Instagram,Entertainment,Medium,4,1,87,3.7285888,24.352468,7.112124,40.39537
23,Female,India,Instagram,Entertainment,Medium,5,1,87,3.7880301,25.380428,6.8641806,45.111336
25,Female,India,Instagram,Entertainment,Medium,2,1,87,3.7295945,25.102594,6.935518,40.886402
26,Male,India,Instagram,Entertainment,Medium,1,1,87,3.5141773,25.044186,7.1085043,40.057137
19,Male,India,TikTok,Entertainment,Medium,2,1,87,3.4718285,24.905369,7.102163,35.932606
15,Female,India,YouTube,Entertainment,Medium,2,1,87,3.61416,23.873573,7.0350623,42.478333
16,Female,India,YouTube,Entertainment,Medium,3,1,87,3.5901024,25.095009,7.101883,37.93119
17,Female,India,YouTube,Entertainment,Medium,1,1,87,3.5731537,24.252195,7.3430176,42.013813
19,Male,India,YouTube,Entertainment,Medium,1,1,87,3.682197,25.996378,6.9897127,41.493256
20,Male,India,YouTube,Entertainment,Medium,4,1,87,3.7128625,25.221882,7.3048964,41.91671
21,Female,India,YouTube,Entertainment,Medium,1,1,87,3.6329587,25.522144,6.911392,37.259087
21,Male,India,YouTube,Entertainment,Medium,3,1,87,3.6330783,26.67374,7.1866746,38.076225
22,Male,India,YouTube,Entertainment,Medium,3,1,87,3.7264876,24.197453,7.138818,42.291695
23,Female,India,YouTube,Entertainment,Medium,2,1,87,3.657208,24.502039,7.034723,39.86506
24,Male,India,YouTube,Entertainment,Medium,3,1,87,3.7201104,23.755192,6.791786,37.717033
26,Female,India,YouTube,Entertainment,Medium,2,1,87,3.7707698,25.43925,7.1529365,39.874065
27,Female,India,YouTube,Entertainment,Medium,5,1,87,3.7117214,25.436947,6.8728614,38.81035
17,Female,India,Instagram,Entertainment,Medium,3,1,86,3.7750657,24.22133,6.8461084,38.85498
19,Male,India,Instagram,Entertainment,Medium,3,1,86,3.609948,24.82504,7.118553,41.423347
25,Male,India,Instagram,Entertainment,Medium,5,1,86,3.6673877,25.364635,7.1754937,40.451935
26,Female,India,Instagram,Entertainment,Medium,1,1,86,3.6855247,24.868568,7.1354246,37.22987
13,Female,India,TikTok,Entertainment,Medium,5,1,86,3.7779026,25.27547,7.1121016,36.561405
14,Male,India,TikTok,Entertainment,Medium,4,1,86,3.6473694,24.906542,7.171628,41.22337
15,Female,India,TikTok,Entertainment,Medium,1,1,86,3.5343566,25.259007,7.232589,38.73078
17,Female,India,TikTok,Entertainment,Medium,5,1,86,3.7072074,26.36121,6.976474,40.30425
17,Male,India,TikTok,Entertainment,Medium,2,1,86,3.619264,24.68743,6.9234757,40.25858
24,Female,India,TikTok,Entertainment,Medium,2,1,86,3.7605846,25.518356,7.1224394,37.19236
24,Female,India,TikTok,Entertainment,Medium,4,1,86,3.8078244,25.052692,7.0359397,38.46446
13,Female,India,YouTube,Entertainment,Medium,4,1,86,3.7467213,24.575747,7.0439696,39.971672
24,Female,India,YouTube,Entertainment,Medium,3,1,86,3.4481282,24.868845,7.320472,40.904602
24,Male,India,YouTube,Entertainment,Medium,5,1,86,3.7057214,24.735165,6.7784553,40.557835
25,Male,India,YouTube,Entertainment,Medium,1,1,86,3.699269,26.137802,7.003171,43.103825
27,Male,India,YouTube,Entertainment,Medium,4,1,86,3.7876983,24.792177,6.8057,36.971413
15,Male,India,Instagram,Entertainment,Medium,3,1,85,3.777679,25.790537,6.958474,42.519558
16,Female,India,Instagram,Entertainment,Medium,1,1,85,3.7141292,26.46758,7.2257857,41.742786
18,Female,India,Instagram,Entertainment,Medium,2,1,85,3.6274571,25.065147,7.1414323,41.03155
19,Female,India,Instagram,Entertainment,Medium,5,0,85,3.5501754,24.35668,7.1890993,42.147945
22,Female,India,Instagram,Entertainment,Medium,1,1,85,3.7152839,26.848001,7.0621023,38.41468
17,Female,India,TikTok,Entertainment,Medium,3,1,85,3.696466,25.37958,7.092331,38.392345
18,Female,India,TikTok,Entertainment,Medium,1,1,85,3.6277065,23.258633,7.080466,38.538143
26,Female,India,TikTok,Entertainment,Medium,4,1,85,3.5379684,24.557077,7.104271,42.764343
16,Male,India,YouTube,Entertainment,Medium,4,1,85,3.6298537,23.025843,7.11955,37.95098
18,Male,India,YouTube,Entertainment,Medium,5,1,85,3.7302003,28.293987,6.91305,39.26457
19,Female,India,YouTube,Entertainment,Medium,2,1,85,3.7800288,26.17454,7.0017195,39.224453
19,Male,India,YouTube,Entertainment,Medium,5,1,85,3.7521605,22.975729,6.926084,39.427055
20,Male,India,YouTube,Entertainment,Medium,2,1,85,3.7300491,23.914845,7.0042505,42.841278
13,Female,India,Instagram,Entertainment,Medium,3,1,84,3.6869476,25.243378,6.965824,41.92901
17,Female,India,Instagram,Entertainment,Medium,2,1,84,3.6116118,24.641968,7.0723658,39.198814
17,Male,India,Instagram,Entertainment,Medium,4,1,84,3.706718,26.73934,6.8994536,39.008904
23,Female,India,Instagram,Entertainment,Medium,3,1,84,3.7050872,25.745554,7.1224504,37.20661
23,Male,India,Instagram,Entertainment,Medium,3,1,84,3.676361,24.666723,7.029052,41.405853
27,Male,India,Instagram,Entertainment,Medium,1,0,84,3.629107,24.874561,7.2337675,41.087532
16,Male,India,TikTok,Entertainment,Medium,2,1,84,3.6380146,24.178198,7.011332,41.797337
17,Male,India,TikTok,Entertainment,Medium,4,1,84,3.6913521,25.724157,6.993235,38.765495
18,Female,India,TikTok,Entertainment,Medium,2,1,84,3.7260685,23.856112,7.1665163,37.647324
20,Female,India,TikTok,Entertainment,Medium,2,1,84,3.7067711,25.945673,7.077464,41.662376
23,Male,India,TikTok,Entertainment,Medium,2,1,84,3.7741952,25.904263,6.933829,39.57731
26,Female,India,TikTok,Entertainment,Medium,1,1,84,3.7368035,26.323359,7.018205,41.14959
17,Male,India,YouTube,Entertainment,Medium,4,1,84,3.666692,25.146584,7.288034,42.520134
21,Female,India,YouTube,Entertainment,Medium,5,1,84,3.7527745,24.880213,7.0330153,39.400055
22,Male,India,YouTube,Entertainment,Medium,4,1,84,3.7899232,25.476511,6.852128,41.390614
23,Female,India,YouTube,Entertainment,Medium,4,1,84,3.4970562,26.107489,7.2245345,42.369675
24,Female,India,YouTube,Entertainment,Medium,4,1,84,3.6097622,24.497599,7.1036887,40.59644
26,Female,India,YouTube,Entertainment,Medium,1,1,84,3.7841725,25.32735,6.9511805,39.440388
15,Male,India,Instagram,Entertainment,Medium,5,1,83,3.7035663,26.849964,6.953032,38.311714
22,Female,India,Instagram,Entertainment,Medium,4,1,83,3.673266,26.546127,6.9135656,36.8455
25,Female,India,Instagram,Entertainment,Medium,3,0,83,3.759676,23.650848,7.0323477,38.72033
13,Male,India,TikTok,Entertainment,Medium,4,1,83,3.7122562,25.300901,7.017726,38.91936
15,Female,India,TikTok,Entertainment,Medium,2,1,83,3.655225,23.524303,7.2671385,39.736134
15,Male,India,TikTok,Entertainment,Medium,1,1,83,3.744012,25.61803,6.9035444,38.09191
16,Female,India,TikTok,Entertainment,Medium,1,1,83,3.6732635,24.947668,7.107974,41.715412
17,Female,India,TikTok,Entertainment,Medium,4,1,83,3.6484947,24.687916,6.8635025,35.68825
17,Male,India,TikTok,Entertainment,Medium,5,1,83,3.5491118,24.584856,7.0241623,37.339355
21,Male,India,TikTok,Entertainment,Medium,1,1,83,3.7994092,24.403532,7.1239305,38.51074
26,Female,India,TikTok,Entertainment,Medium,3,1,83,3.5703073,22.860723,7.2332306,38.767975
27,Female,India,TikTok,Entertainment,Medium,2,1,83,3.6741326,23.210941,6.909899,39.741974
18,Female,India,YouTube,Entertainment,Medium,5,1,83,3.7247703,25.46393,7.2058687,42.24157
18,Male,India,YouTube,Entertainment,Medium,3,1,83,3.8050232,26.12742,6.9332304,42.39666
19,Female,India,YouTube,Entertainment,Medium,1,1,83,3.6200042,23.807537,7.1653605,37.70388
19,Male,India,YouTube,Entertainment,Medium,2,1,83,3.5966244,25.024614,7.350666,40.720665
20,Female,India,YouTube,Entertainment,Medium,5,1,83,3.6319141,23.578108,7.2267256,41.113647
24,Female,India,YouTube,Entertainment,Medium,1,1,83,3.718328,26.157282,7.140815,40.186527
25,Male,India,YouTube,Entertainment,Medium,2,1,83,3.8128846,26.22668,7.023355,37.59181
14,Male,India,Instagram,Entertainment,Medium,4,1,82,3.5653229,25.6538,7.1528106,39.73456
16,Male,India,Instagram,Entertainment,Medium,5,1,82,3.679737,26.362387,6.890462,37.901123
18,Female,India,Instagram,Entertainment,Medium,3,1,82,3.6880221,24.692692,7.0839987,42.87072
27,Male,India,Instagram,Entertainment,Medium,1,1,82,3.6982815,24.312128,6.7823944,40.947216
27,Male,India,Instagram,Entertainment,Medium,3,1,82,3.6060967,22.817562,7.0091796,37.354893
18,Male,India,TikTok,Entertainment,Medium,3,1,82,3.6856754,27.08872,7.002173,36.52518
20,Female,India,TikTok,Entertainment,Medium,3,1,82,3.6958356,24.098858,6.8312926,41.743397
22,Female,India,TikTok,Entertainment,Medium,1,1,82,3.611405,23.375051,7.153417,39.321136
23,Male,India,TikTok,Entertainment,Medium,1,1,82,3.6783974,25.571148,7.1211367,40.402126
24,Male,India,TikTok,Entertainment,Medium,2,1,82,3.577655,25.81601,7.1795187,44.880413
26,Female,India,TikTok,Entertainment,Medium,2,1,82,3.591002,24.054659,7.243132,41.86727
26,Female,India,TikTok,Entertainment,Medium,5,1,82,3.7941883,25.255535,6.9866266,38.723534
15,Male,India,YouTube,Entertainment,Medium,4,1,82,3.7636256,26.072178,7.149971,40.454975
20,Female,India,YouTube,Entertainment,Medium,2,1,82,3.627201,25.289213,7.214606,37.73649
20,Male,India,YouTube,Entertainment,Medium,5,1,82,3.6987686,25.343643,7.0591354,39.954647
23,Male,India,YouTube,Entertainment,Medium,5,1,82,3.677166,24.915403,6.961421,42.153778
25,Female,India,YouTube,Entertainment,Medium,3,1,82,3.5723367,25.43037,6.9622064,43.13645
13,Male,India,TikTok,Entertainment,Medium,1,1,81,3.7038682,25.42064,7.026413,38.855885
13,Male,India,TikTok,Entertainment,Medium,5,1,81,3.7357566,25.165756,7.054059,43.524803
18,Female,India,TikTok,Entertainment,Medium,4,1,81,3.7258873,25.033419,7.0118284,37.867664
23,Male,India,TikTok,Entertainment,Medium,4,1,81,3.5678496,26.570307,7.048108,42.642445
24,Female,India,TikTok,Entertainment,Medium,5,1,81,3.516873,24.028332,7.0435433,42.136597
25,Female,India,TikTok,Entertainment,Medium,3,1,81,3.8057106,24.732758,6.803355,40.64959
27,Female,India,TikTok,Entertainment,Medium,5,1,81,3.82421,24.02185,7.0685873,38.13852
27,Male,India,TikTok,Entertainment,Medium,2,1,81,3.746058,24.753994,7.04312,42.66995
13,Male,India,YouTube,Entertainment,Medium,2,1,81,3.702187,24.42438,7.176383,38.50775
13,Male,India,YouTube,Entertainment,Medium,3,1,81,3.7651963,25.09402,6.8787513,38.480293
